web-scraper-order,web-scraper-start-url,name,price,country_raw,quantity,value,country,name_raw_len,bio,non_alcoholic,premium,wine_category,price_category,quantity_in_cl,price_per_10cl,country_code
1734709745-108,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,VALDO PROSECCO DI VALDOBBIADENE DOCG,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,IT
1734709745-110,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,FREIXENET CARTA MEDIUM DRY SEMI SECO,6.95,Spanien,75cl,0.93/10cl,Spanien,36,0,0,0,SCHAUMWEIN,Budget,75,0.93,ES
1734709745-111,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,"CHAMPAGNE AOC IMPÉRIAL MOËT & CHANDON, BRUT",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FR
1734709745-112,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,BOURGOGNE AOC CHARDONNAY LOUIS JADOT,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FR
1734709745-113,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,VALAIS AOC ROSÉ OEIL DE PERDRIX LE ROSEL 6X  75CL,42.6,"Schweiz, 2023",6x 75cl,0.95/10cl,Schweiz,49,0,0,0,ROSÉWEIN,Premium,6,0.95,CH
1734709745-114,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,LEGARIS CRIANZA RIBERA DEL DUERO DO,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ES
1734709745-115,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,RIPASSO DELLA VALPOLICELLA DOC SUPERIORE VIGNE ALTE ZENI,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,IT
1734709745-116,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,VINO NOBILE DI MONTEPULCIANO DOCG TENUTA TREROSE,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,IT
1734709749-117,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,"NATURAPLAN BIO-PROSECCO DOC RAPHAEL DAL BO, EXTRA DRY",11.95,Italien,75cl,1.59/10cl,Italien,53,1,0,0,SCHAUMWEIN,Mid-Range,75,1.59,IT
1734709749-119,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,ZÜRICH AOC STAATSSCHREIBER CUVÉE BLANC PRESTIGE,12.7,"Schweiz, 2023",75cl,1.69/10cl,Schweiz,47,0,0,1,WEISSWEIN,Mid-Range,75,1.69,CH
1734709749-120,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,"PROSECCO SUPERIORE DI VALDOBBIADENE CONEGLIANO DOCG CARPENÉ MALVOLTI, EXTRA DRY",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,IT
1734709749-121,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,AIGLE LES MURAILLES CHABLAIS AOC H. BADOUX,22.5,"Schweiz, 2023",70cl,3.21/10cl,Schweiz,42,0,0,0,UNCATEGORIZED,Mid-Range,70,3.21,CH
1734709749-122,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,"CHAMPAGNE AOC CHARLES BERTIN, BRUT",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FR
1734709749-123,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,"PROSECCO DOC VIGNE DEI DOGI, EXTRA DRY",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,IT
1734709749-124,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,ZÜRICH AOC FEDERWEISSER STAUFFACHER,9.95,"Schweiz, 2023",75cl,1.33/10cl,Schweiz,35,0,0,0,WEISSWEIN,Budget,75,1.33,CH
1734709749-125,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,BLU SECCO DOSE VINO FRIZZANTE 6X20CL,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,IT
1734709749-126,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,TOSCANA IGT ROSSO VILLA ANTINORI,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,IT
1734709749-127,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,TERRE SICILIANE IGT NERO D'AVOLA BROMEUS,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,IT
1734709749-128,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,LA CÔTE AOC GRAND CRU PERROY CUVÉE 48 CAVE DE JOLIMONT 6X  70CL,41.7,"Schweiz, 2023",6x 70cl,0.99/10cl,Schweiz,63,0,0,1,UNCATEGORIZED,Premium,6,0.99,CH
1734709749-129,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,LAVAUX AOC ST-SAPHORIN LA DONJANNAZ LES TERRASSES DE LAVAUX,14.95,"Schweiz, 2023",70cl,2.14/10cl,Schweiz,59,0,0,0,UNCATEGORIZED,Mid-Range,70,2.14,CH
1734709749-130,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,ALSACE AOP GEWÜRZTRAMINER BARON DE HOEN BEBLENHEIM,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FR
1734709749-131,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,VALAIS AOC DÔLE BLANCHE LES BERNADETTES,9.3,"Schweiz, 2023",75cl,1.24/10cl,Schweiz,39,0,0,0,WEISSWEIN,Budget,75,1.24,CH
1734709749-132,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,DOURO DOC FABELHAFT NIEPOORT,11.25,"Portugal, 2021",75cl,1.50/10cl,Portugal,28,0,0,0,UNCATEGORIZED,Mid-Range,75,1.5,PT
1734709749-133,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,GLÜHWEIN HEISSER HIRSCH ROT,4.5,Deutschland,75cl,0.60/10cl,Deutschland,27,0,0,0,GLÜHWEIN,Budget,75,0.6,DE
1734709749-134,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,TOSCANA IGT BIANCO VILLA ANTINORI,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,IT
1734709749-135,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,"NATURAPLAN BIO-CRÉMANT D'ALSACE AOC WOLFBERGER, BRUT",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FR
1734709749-136,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,MÉDOC AOC CHÂTEAU LAFFITTE LAUJAC,8.95,"Frankreich, 2021",75cl,1.19/10cl,Frankreich,33,0,0,0,UNCATEGORIZED,Budget,75,1.19,FR
1734709749-137,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,VALDO PROSECCO DI VALDOBBIADENE DOCG,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,IT
1734709749-139,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,FREIXENET CARTA MEDIUM DRY SEMI SECO,6.95,Spanien,75cl,0.93/10cl,Spanien,36,0,0,0,SCHAUMWEIN,Budget,75,0.93,ES
1734709749-140,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,"CHAMPAGNE AOC IMPÉRIAL MOËT & CHANDON, BRUT",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FR
1734709749-141,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,BOURGOGNE AOC CHARDONNAY LOUIS JADOT,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FR
1734709749-142,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,VALAIS AOC ROSÉ OEIL DE PERDRIX LE ROSEL 6X  75CL,42.6,"Schweiz, 2023",6x 75cl,0.95/10cl,Schweiz,49,0,0,0,ROSÉWEIN,Premium,6,0.95,CH
1734709749-143,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,LEGARIS CRIANZA RIBERA DEL DUERO DO,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ES
1734709749-144,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,RIPASSO DELLA VALPOLICELLA DOC SUPERIORE VIGNE ALTE ZENI,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,IT
1734709749-145,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,VINO NOBILE DI MONTEPULCIANO DOCG TENUTA TREROSE,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,IT
1734709754-146,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,"NATURAPLAN BIO-PROSECCO DOC RAPHAEL DAL BO, EXTRA DRY",11.95,Italien,75cl,1.59/10cl,Italien,53,1,0,0,SCHAUMWEIN,Mid-Range,75,1.59,IT
1734709754-148,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,ZÜRICH AOC STAATSSCHREIBER CUVÉE BLANC PRESTIGE,12.7,"Schweiz, 2023",75cl,1.69/10cl,Schweiz,47,0,0,1,WEISSWEIN,Mid-Range,75,1.69,CH
1734709754-149,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,"PROSECCO SUPERIORE DI VALDOBBIADENE CONEGLIANO DOCG CARPENÉ MALVOLTI, EXTRA DRY",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,IT
1734709754-150,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,AIGLE LES MURAILLES CHABLAIS AOC H. BADOUX,22.5,"Schweiz, 2023",70cl,3.21/10cl,Schweiz,42,0,0,0,UNCATEGORIZED,Mid-Range,70,3.21,CH
1734709754-151,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,"CHAMPAGNE AOC CHARLES BERTIN, BRUT",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FR
1734709754-152,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,"PROSECCO DOC VIGNE DEI DOGI, EXTRA DRY",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,IT
1734709754-153,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,ZÜRICH AOC FEDERWEISSER STAUFFACHER,9.95,"Schweiz, 2023",75cl,1.33/10cl,Schweiz,35,0,0,0,WEISSWEIN,Budget,75,1.33,CH
1734709754-154,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,BLU SECCO DOSE VINO FRIZZANTE 6X20CL,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,IT
1734709754-155,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,TOSCANA IGT ROSSO VILLA ANTINORI,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,IT
1734709754-156,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,TERRE SICILIANE IGT NERO D'AVOLA BROMEUS,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,IT
1734709754-157,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,LA CÔTE AOC GRAND CRU PERROY CUVÉE 48 CAVE DE JOLIMONT 6X  70CL,41.7,"Schweiz, 2023",6x 70cl,0.99/10cl,Schweiz,63,0,0,1,UNCATEGORIZED,Premium,6,0.99,CH
1734709754-158,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,LAVAUX AOC ST-SAPHORIN LA DONJANNAZ LES TERRASSES DE LAVAUX,14.95,"Schweiz, 2023",70cl,2.14/10cl,Schweiz,59,0,0,0,UNCATEGORIZED,Mid-Range,70,2.14,CH
1734709754-159,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,ALSACE AOP GEWÜRZTRAMINER BARON DE HOEN BEBLENHEIM,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FR
1734709754-160,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,VALAIS AOC DÔLE BLANCHE LES BERNADETTES,9.3,"Schweiz, 2023",75cl,1.24/10cl,Schweiz,39,0,0,0,WEISSWEIN,Budget,75,1.24,CH
1734709754-161,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,DOURO DOC FABELHAFT NIEPOORT,11.25,"Portugal, 2021",75cl,1.50/10cl,Portugal,28,0,0,0,UNCATEGORIZED,Mid-Range,75,1.5,PT
1734709754-162,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,GLÜHWEIN HEISSER HIRSCH ROT,4.5,Deutschland,75cl,0.60/10cl,Deutschland,27,0,0,0,GLÜHWEIN,Budget,75,0.6,DE
1734709754-163,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,TOSCANA IGT BIANCO VILLA ANTINORI,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,IT
1734709754-164,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,"NATURAPLAN BIO-CRÉMANT D'ALSACE AOC WOLFBERGER, BRUT",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FR
1734709754-165,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,MÉDOC AOC CHÂTEAU LAFFITTE LAUJAC,8.95,"Frankreich, 2021",75cl,1.19/10cl,Frankreich,33,0,0,0,UNCATEGORIZED,Budget,75,1.19,FR
1734709754-166,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,VALDO PROSECCO DI VALDOBBIADENE DOCG,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,IT
1734709754-168,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,FREIXENET CARTA MEDIUM DRY SEMI SECO,6.95,Spanien,75cl,0.93/10cl,Spanien,36,0,0,0,SCHAUMWEIN,Budget,75,0.93,ES
1734709754-169,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,"CHAMPAGNE AOC IMPÉRIAL MOËT & CHANDON, BRUT",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FR
1734709754-170,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,BOURGOGNE AOC CHARDONNAY LOUIS JADOT,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FR
1734709754-171,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,VALAIS AOC ROSÉ OEIL DE PERDRIX LE ROSEL 6X  75CL,42.6,"Schweiz, 2023",6x 75cl,0.95/10cl,Schweiz,49,0,0,0,ROSÉWEIN,Premium,6,0.95,CH
1734709754-172,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,LEGARIS CRIANZA RIBERA DEL DUERO DO,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ES
1734709754-173,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,RIPASSO DELLA VALPOLICELLA DOC SUPERIORE VIGNE ALTE ZENI,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,IT
1734709754-174,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,VINO NOBILE DI MONTEPULCIANO DOCG TENUTA TREROSE,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,IT
1734709759-175,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,"NATURAPLAN BIO-PROSECCO DOC RAPHAEL DAL BO, EXTRA DRY",11.95,Italien,75cl,1.59/10cl,Italien,53,1,0,0,SCHAUMWEIN,Mid-Range,75,1.59,IT
1734709759-177,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,ZÜRICH AOC STAATSSCHREIBER CUVÉE BLANC PRESTIGE,12.7,"Schweiz, 2023",75cl,1.69/10cl,Schweiz,47,0,0,1,WEISSWEIN,Mid-Range,75,1.69,CH
1734709759-178,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,"PROSECCO SUPERIORE DI VALDOBBIADENE CONEGLIANO DOCG CARPENÉ MALVOLTI, EXTRA DRY",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,IT
1734709759-179,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,AIGLE LES MURAILLES CHABLAIS AOC H. BADOUX,22.5,"Schweiz, 2023",70cl,3.21/10cl,Schweiz,42,0,0,0,UNCATEGORIZED,Mid-Range,70,3.21,CH
1734709759-180,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,"CHAMPAGNE AOC CHARLES BERTIN, BRUT",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FR
1734709759-181,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,"PROSECCO DOC VIGNE DEI DOGI, EXTRA DRY",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,IT
1734709759-182,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,ZÜRICH AOC FEDERWEISSER STAUFFACHER,9.95,"Schweiz, 2023",75cl,1.33/10cl,Schweiz,35,0,0,0,WEISSWEIN,Budget,75,1.33,CH
1734709759-183,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,BLU SECCO DOSE VINO FRIZZANTE 6X20CL,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,IT
1734709759-184,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,TOSCANA IGT ROSSO VILLA ANTINORI,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,IT
1734709759-185,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,TERRE SICILIANE IGT NERO D'AVOLA BROMEUS,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,IT
1734709759-186,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,LA CÔTE AOC GRAND CRU PERROY CUVÉE 48 CAVE DE JOLIMONT 6X  70CL,41.7,"Schweiz, 2023",6x 70cl,0.99/10cl,Schweiz,63,0,0,1,UNCATEGORIZED,Premium,6,0.99,CH
1734709759-187,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,LAVAUX AOC ST-SAPHORIN LA DONJANNAZ LES TERRASSES DE LAVAUX,14.95,"Schweiz, 2023",70cl,2.14/10cl,Schweiz,59,0,0,0,UNCATEGORIZED,Mid-Range,70,2.14,CH
1734709759-188,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,ALSACE AOP GEWÜRZTRAMINER BARON DE HOEN BEBLENHEIM,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FR
1734709759-189,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,VALAIS AOC DÔLE BLANCHE LES BERNADETTES,9.3,"Schweiz, 2023",75cl,1.24/10cl,Schweiz,39,0,0,0,WEISSWEIN,Budget,75,1.24,CH
1734709759-190,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,DOURO DOC FABELHAFT NIEPOORT,11.25,"Portugal, 2021",75cl,1.50/10cl,Portugal,28,0,0,0,UNCATEGORIZED,Mid-Range,75,1.5,PT
1734709759-191,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,GLÜHWEIN HEISSER HIRSCH ROT,4.5,Deutschland,75cl,0.60/10cl,Deutschland,27,0,0,0,GLÜHWEIN,Budget,75,0.6,DE
1734709759-192,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,TOSCANA IGT BIANCO VILLA ANTINORI,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,IT
1734709759-193,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,"NATURAPLAN BIO-CRÉMANT D'ALSACE AOC WOLFBERGER, BRUT",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FR
1734709759-194,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,MÉDOC AOC CHÂTEAU LAFFITTE LAUJAC,8.95,"Frankreich, 2021",75cl,1.19/10cl,Frankreich,33,0,0,0,UNCATEGORIZED,Budget,75,1.19,FR
1734709759-195,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,VALDO PROSECCO DI VALDOBBIADENE DOCG,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,IT
1734709759-197,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,FREIXENET CARTA MEDIUM DRY SEMI SECO,6.95,Spanien,75cl,0.93/10cl,Spanien,36,0,0,0,SCHAUMWEIN,Budget,75,0.93,ES
1734709759-198,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,"CHAMPAGNE AOC IMPÉRIAL MOËT & CHANDON, BRUT",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FR
1734709759-199,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,BOURGOGNE AOC CHARDONNAY LOUIS JADOT,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FR
1734709759-200,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,VALAIS AOC ROSÉ OEIL DE PERDRIX LE ROSEL 6X  75CL,42.6,"Schweiz, 2023",6x 75cl,0.95/10cl,Schweiz,49,0,0,0,ROSÉWEIN,Premium,6,0.95,CH
1734709759-201,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,LEGARIS CRIANZA RIBERA DEL DUERO DO,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ES
1734709759-202,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,RIPASSO DELLA VALPOLICELLA DOC SUPERIORE VIGNE ALTE ZENI,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,IT
1734709759-203,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,VINO NOBILE DI MONTEPULCIANO DOCG TENUTA TREROSE,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,IT
1734709763-204,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,"NATURAPLAN BIO-PROSECCO DOC RAPHAEL DAL BO, EXTRA DRY",11.95,Italien,75cl,1.59/10cl,Italien,53,1,0,0,SCHAUMWEIN,Mid-Range,75,1.59,IT
1734709763-206,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,ZÜRICH AOC STAATSSCHREIBER CUVÉE BLANC PRESTIGE,12.7,"Schweiz, 2023",75cl,1.69/10cl,Schweiz,47,0,0,1,WEISSWEIN,Mid-Range,75,1.69,CH
1734709763-207,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,"PROSECCO SUPERIORE DI VALDOBBIADENE CONEGLIANO DOCG CARPENÉ MALVOLTI, EXTRA DRY",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,IT
1734709763-208,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,AIGLE LES MURAILLES CHABLAIS AOC H. BADOUX,22.5,"Schweiz, 2023",70cl,3.21/10cl,Schweiz,42,0,0,0,UNCATEGORIZED,Mid-Range,70,3.21,CH
1734709763-209,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,"CHAMPAGNE AOC CHARLES BERTIN, BRUT",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FR
1734709763-210,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,"PROSECCO DOC VIGNE DEI DOGI, EXTRA DRY",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,IT
1734709763-211,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,ZÜRICH AOC FEDERWEISSER STAUFFACHER,9.95,"Schweiz, 2023",75cl,1.33/10cl,Schweiz,35,0,0,0,WEISSWEIN,Budget,75,1.33,CH
1734709763-212,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,BLU SECCO DOSE VINO FRIZZANTE 6X20CL,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,IT
1734709763-213,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,TOSCANA IGT ROSSO VILLA ANTINORI,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,IT
1734709763-214,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,TERRE SICILIANE IGT NERO D'AVOLA BROMEUS,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,IT
1734709763-215,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,LA CÔTE AOC GRAND CRU PERROY CUVÉE 48 CAVE DE JOLIMONT 6X  70CL,41.7,"Schweiz, 2023",6x 70cl,0.99/10cl,Schweiz,63,0,0,1,UNCATEGORIZED,Premium,6,0.99,CH
1734709763-216,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,LAVAUX AOC ST-SAPHORIN LA DONJANNAZ LES TERRASSES DE LAVAUX,14.95,"Schweiz, 2023",70cl,2.14/10cl,Schweiz,59,0,0,0,UNCATEGORIZED,Mid-Range,70,2.14,CH
1734709763-217,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,ALSACE AOP GEWÜRZTRAMINER BARON DE HOEN BEBLENHEIM,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FR
