name,nation,abv,country_code
Baron du Val Red,France,11,FRA
Baron du Val White,France,11,FRA
"Calvet, Beaujolais Villages",France,12,FRA
"Calvet, Aetos",France,13,FRA
"Calvet, Bordeaux Red",France,13,FRA
"Calvet, Bordeaux white",France,11,FRA
"Calvet, Varietals Cabernet Sauvignon",France,13,FRA
"Calvet, Varietals Merlot",France,13,FRA
"Calvet, Reserve Bordeaux white",France,11,FRA
"Calvet, Premieres Cotes de Bordeaux",France,13,FRA
"Calvet, Margaux",France,12,FRA
"Calvet, Medoc",France,12,FRA
"Calvet, Saint Emilion",France,12,FRA
Tavernello Rosato Frizzante,Italy,11,ITA
Tavernello Bianco Fizzante,Italy,11,ITA
La Carillon de l'Angelus,France,13,FRA
Chateau Brillette,France,13,FRA
Le Bailly de Camensac,France,13,FRA
L'oratoire de Chasse Spleen,France,12,FRA
Chateau de Seguin Cuvee Prestige,France,13,FRA
Chateau de Seguin,France,13,FRA
Chateau Durfort Vivens,France,13,FRA
La sirene de Giscours,France,12,FRA
Chateau Haut Bages Averous,France,13,FRA
Chateau La Gurgue,France,13,FRA
Ginestet Bordeaux de Ginestet Red,France,12,FRA
Ginestet Bordeaux Reserve Red,France,12,FRA
Ginestet Bordeaux Blanc,France,12,FRA
Mascaron Bordeaux Blanc,France,12,FRA
Mascaron Bordeaux rouge,France,13,FRA
Reference,France,13,FRA
Ginestet Margaux,France,12,FRA
Ginestet Medoc,France,12,FRA
Henri Medoc,France,12,FRA
Mascaron Medoc,France,13,FRA
"Noble, Medoc",France,12,FRA
Chateau Haut Bages Liberal,France,13,FRA
Ginestet Saint Emilion,France,12,FRA
Mascaron Puisseguin Saint Emilion,France,12,FRA
"Ginestet, Saint Estephe",France,12,FRA
Ginestet Sauternes,France,13,FRA
"Ginestet, Selection Cabernet Sauvignon",France,11,FRA
Ginestet Selection Merlot,France,11,FRA
Henri Lavigne,France,10,FRA
"Jean Berteau, Chateauneuf du Pape Domaine du Grand Coulet",France,13,FRA
"Jean Berteau, Cotes du Rhone Cuvee Prestige Red",France,13,FRA
"Jean Berteau, Cotes du Rhone Cuvee Prestige White",France,13,FRA
Jean Berteau Excellence,France,13,FRA
"Jean Luc Colombo, Chateauneuf du Pape 'Les Bartavelles'",France,13,FRA
"Jean Luc Colombo, Cornas 'Les Ruchets'",France,13,FRA
Cote Rotie La Divine,France,13,FRA
Jean Luc Colombo Cotes du Rhone  'Les Abeilles' Rouge,France,12,FRA
Jean Luc Colombo Cotes du Rhone 'Les Abeilles' Blanc,France,13,FRA
"Jean Luc Colombo, Crozes Hermitage  Les Gravieres",France,13,FRA
"Jean Luc Colombo, Crozes Hermitage  La Tuiliere",France,13,FRA
"Jean Luc Colombo, Hermitage Le Rouet",France,13,FRA
"Jean Luc Colombo, Collines Rhodaniennes 'Les Collines de Laure'",France,12,FRA
"Jean Luc Colombo, Saint Joseph Red Le Prieure",France,13,FRA
"Jean Moreau & Fils, Chablis",France,12,FRA
"Jean Moreau & Fils, Chablis Grand Cru 'Valmur'",France,13,FRA
"Jean Moreau & Fils, Chablis 1er Cru 'Montmains'",France,13,FRA
"Jean Moreau & Fils, Sancerre",France,12,FRA
"Blue Nun, Cabernet Sauvignon",France,13,FRA
"Blue Nun, Dornfelder ",Germany,8,DEU
"Blue Nun, Eiswein Riesling",Germany,10,DEU
"Blue Nun, Gold Edition 22k",Germany,10,DEU
"Blue Nun, Merlot",France,13,FRA
"Blue Nun, White",Germany,10,DEU
"Blue Nun, Riesling Winemaker's Passion",Germany,10,DEU
Liebfraumilch,Germany,9,DEU
"Blue Nun, Pink Icewein",Spain,7,ESP
"Marques de Caceres, Blanco",Spain,12,ESP
Marques de Caceres Gaudium,Spain,14,ESP
Marques de Caceres Crianza,Spain,13,ESP
Marques de Caceres Gran Reserva,Spain,14,ESP
Marques de Caceres Reserva,Spain,14,ESP
Marques de Caceres MC,Spain,14,ESP
Marques de Caceres Satinela,Spain,12,ESP
"Pol Roger, Brut Reserve",France,12,FRA
"Pol Roger, Cuvee Sir Winston Churchill",France,12,FRA
"Pol Roger, Brut Vintage",France,12,FRA
"Pol Roger, Rose Vintage",France,12,FRA
"Calvet, Noble Bordeaux Red",France,12,FRA
"Calvet, Noble Bordeaux white",France,12,FRA
Vieux Chateau du Terme,France,12,FRA
"Rocca Cerrina, Moscato d'Asti",Italy,6,ITA
"Ruffino, Chianti",Italy,12,ITA
"Ruffino, Il Leo Chianti Superiore",Italy,13,ITA
"Ruffino, Riserva Ducale Chianti Classico Riserva",Italy,13,ITA
"Ruffino, Riserva Ducale Oro Chiant Classico Grand Selezione",Italy,14,ITA
"Ruffino, Santedame Chianti Classico",Italy,13,ITA
"Ruffino, Greppone Mazzi Brunello di Montalcino",Italy,14,ITA
"Ruffino, Lodola Nuova, Vino Nobile di Montepulciano",Italy,14,ITA
"Ruffino, Fonte Al Sole",Italy,13,ITA
"Ruffino, Il Ducale Toscana",Italy,13,ITA
"Ruffino, Modus",Italy,14,ITA
"Ruffino, Romitorio di Santidame",Italy,13,ITA
"Santa Margherita, Sangiovese",Italy,14,ITA
"Santa Margherita, Chardonnay",Italy,12,ITA
"Santa Margherita, Shiraz",Italy,14,ITA
Baron de Brane,France,13,FRA
Les Remparts de Ferriere,France,13,FRA
Les Haut de Brillette,France,14,FRA
Margaux Tradition,France,13,FRA
Chateau de Montagne,France,12,FRA
Laroussie Beaucastel Bordeaux Superieure,France,12,FRA
Chateau Bellegrave,France,12,FRA
Chateau Laubespin Medoc,France,12,FRA
Laroque cantegrelle Medoc,France,13,FRA
"Antech Limoux, Doux et Fruite",France,6,FRA
"Antech Limoux, Frisson",France,6,FRA
"Antonin Rodet, Chablis",France,13,FRA
"Antonin Rodet, Chablis Premier Cru",France,13,FRA
Chateau de Rully,France,13,FRA
"Antonin Rodet, Aloxe Corton",France,13,FRA
"Antonin Rodet, Meursault Premier Cru 'Perriers'",France,13,FRA
"Antonin Rodet, Pommard",France,13,FRA
"Antonin Rodet, Puligny Montrachet",France,13,FRA
"Antonin Rodet, Chambolle Musigny",France,13,FRA
"Antonin Rodet, Gevrey Chambertin",France,13,FRA
"Antonin Rodet, Nuits St Georges",France,13,FRA
"Antonin Rodet, Cotes du Rhone Rouge",France,13,FRA
"Antonin Rodet, Macon Villages",France,13,FRA
"Antonin Rodet, Pouilly Fuisse",France,13,FRA
"Antonin Rodet, Bourgogne Pinot Noir",France,12,FRA
"Balbi Soprani, Nebbiolo d'Alba",Italy,13,ITA
"Balbi Soprani, Asti",Italy,5,ITA
"Balbi Soprani, Barbera d'Asti  La Baudria",Italy,14,ITA
"Balbi Soprani, Moscato d'Asti",Italy,5,ITA
"Balbi Soprani, Barbaresco",Italy,13,ITA
"Balbi Soprani, Barolo",Italy,13,ITA
"Balbi Soprani, Brachetto d'Acqui",Italy,6,ITA
"Brotte, Chateauneuf du Pape 'La Fiole du Pape'",France,13,FRA
Chateau Pouget,France,12,FRA
Chateau Cadet Piola,France,13,FRA
Chateau Ciceron,France,13,FRA
"Chateau de Serame, Cabernet Sauvignon",France,13,FRA
"Chateau de Serame, Chardonnay",France,12,FRA
"Chateau de Serame, Merlot",France,12,FRA
"Chialri 1860, Lambrusco Bianco",Italy,7,ITA
"Chialri 1860, Lambrusco Rosso",Italy,7,ITA
"Citra, Merlot",Italy,13,ITA
"Citra, Montepulciano d'Abruzzo",Italy,13,ITA
"Citra, Sangiovese",Italy,13,ITA
"Citra, Trebbiano d'Abruzzo",Italy,12,ITA
"Citra, Lavs Vitae Montepulciano d'Abruzzo",Italy,14,ITA
"Citra, Lavs Vitae Trebbiano d'Abruzzo",Italy,14,ITA
"Citra, Palio Chardonnay",Italy,13,ITA
"Citra, Palio Montepulciano d'Abruzzo",Italy,13,ITA
"Domaine Jacques Prieur, Beaune 1er Cru Les Champs Pimont",France,13,FRA
"Domaine Jacques Prieur, Beaune 1er Cru Champs Pimont Blanc",France,12,FRA
"Domaine Jacques Prieur, Beaune 1er Cru Clos de la Feguine Blanc",France,13,FRA
"Domaine Jacques Prieur, Beaune 1er Cru Clos de la Feguine Rouge",France,13,FRA
"Domaine Jacques Prieur, Beaune 1er Cru les Greves",France,13,FRA
"Domaine Jacques Prieur, Chevalier Montrachet Grand Cru",France,13,FRA
"Domaine Jacques Prieur, Corton Bressandes Grand Cru",France,13,FRA
"Domaine Jacques Prieur, Meursault 1er Cru Santenots",France,13,FRA
"Domaine Jacques Prieur, Meursault Clos de Mazeray Blanc",France,13,FRA
"Domaine Jacques Prieur, Montrachet Grand Cru",France,13,FRA
"Domaine Jacques Prieur, Puligny Montrachet 1er Cru les Combettes",France,13,FRA
"Domaine Jacques Prieur, Volnay 1er Cru Champans",France,13,FRA
"Domaine Jacques Prieur, Volnay 1er Cru Clos des Santenots",France,13,FRA
"Domaine Jacques Prieur, Chambertin Grand Cru",France,13,FRA
"Domaine Jacques Prieur, Clos de Vougeot Grand Cru",France,13,FRA
"Domaine Jacques Prieur, Echezeaux Grand Cru",France,14,FRA
"Domaine Jacques Prieur, Les Musigny Grand Cru",France,13,FRA
"Domini Veneti, Bardolino Chiaretto Classico",Italy,12,ITA
"Domini Veneti, Soave Classico",Italy,12,ITA
"Domini Veneti, Soave Classico Superiore Ca de Napa",Italy,13,ITA
"Domini Veneti, Amarone Classico della Valpolicella Vigneti di Jago",Italy,15,ITA
"Domini Veneti, Amarone della Valpolicella Classico",Italy,15,ITA
"Domini Veneti, Recioto Della Valpolicella Classico",Italy,12,ITA
"Domini Veneti, Valpolicella Classico Ripasso Vigneti di Torbe",Italy,13,ITA
"Domini Veneti, Valpolicella Classico Superiore",Italy,12,ITA
"Domini Veneti, Valpolicella Classico Superiore Ripasso La Casetta",Italy,13,ITA
"Dourthe, Beau Mayne Blanc",France,12,FRA
"Dourthe, Beau Mayne Rouge",France,12,FRA
Chateau Pey La Tour,France,14,FRA
Chateau Pey La Tour Reserve Bordeaux Superieur,France,14,FRA
"Dourthe, Cuvee 202 Blanc",France,11,FRA
"Dourthe, Cuvee 202 Rouge",France,11,FRA
"Dourthe, Bordeaux Demi sec Grands Terroirs",France,11,FRA
"Dourthe, Grands Terroirs Bordeaux Superieur ",France,13,FRA
Dourthe Essence,France,13,FRA
"Dourthe, Le Cardinal Bordeaux",France,13,FRA
"Dourthe, Greve La Grande Cuvee",France,12,FRA
Chateau Reysson,France,14,FRA
"Dourthe, Medoc La Grande Cuvee",France,13,FRA
Heritage de Le Boscq,France,12,FRA
Domaine de Montrabech,France,12,FRA
"Dr. ZenZen, Icewein",Germany,10,DEU
"Geografico, Chianti Classico Fagnano",Italy,12,ITA
"Geografico, Chianti Classico",Italy,12,ITA
"Geografico, Chianti Classico Riserva Montegiachi",Italy,12,ITA
"Geografico, Chianti Colli Senesi",Italy,13,ITA
"Geografico, Brunello di Montacino",Italy,14,ITA
"Geografico, Rosso di Montalcino",Italy,13,ITA
"Geografico, Vino Nobile di Montepulciano Cerraia",Italy,13,ITA
"Geografico, Vernaccia di San Gimignano",Italy,12,ITA
"Geografico, Le Mire Bianco",Italy,12,ITA
"Geografico, Le Mire Sangiovese",Italy,12,ITA
"Geografico, Pulleraia",Italy,13,ITA
"Bodegas Lagunilla, Casa del Comendador Gran Reserva",Spain,12,ESP
"Bodegas Lagunilla, Casa del Comendador Crianza",Spain,13,ESP
"Bodegas Lagunilla, Casa del Comendador Reserva",Spain,13,ESP
"Bodegas Lagunilla, Reserva Rioja",Spain,13,ESP
"Bodegas Lagunilla, Tempranillo Rioja",Spain,12,ESP
Saint Vincent Sweet,France,11,FRA
Chateau Blanzac Cuvee Prestige,France,13,FRA
Chateau La Valette,France,12,FRA
Chateau Fayau,France,13,FRA
Chateau Puy Guerin,France,13,FRA
"Marques de Monistrol, Cabernet Sauvignon Tempranillo Crianza",Spain,12,ESP
"Marques de Monistrol, Reserva Privada",Spain,12,ESP
"Marques de Monistrol, Tempranillo Merlot Rose",Spain,11,ESP
"Marques de Monistrol, Masia MM Single Vineyard",Spain,13,ESP
Chateau Belgrave,France,13,FRA
Labastide Dauzac,France,13,FRA
Altesino Brunello di Montalcino Riserva,Italy,13,ITA
Altesino Rosso di Altesino,Italy,13,ITA
"Altesino, Bianco di Altesino",Italy,12,ITA
Bianco di Altesino Altesino,Italy,12,ITA
Anselmi I Capitelli,Italy,13,ITA
Anselmi Realda Cabernet Sauvignon,Italy,14,ITA
Anselmi San Vincenzo,Italy,13,ITA
"Barone Ricasoli, Rocca Guicciarda Chianti Classico Riserva",Italy,13,ITA
"Barone Ricasoli, Campo Ceni Rosso",Italy,13,ITA
"Barone Ricasoli, Casalferro Rosso",Italy,14,ITA
"Barone Ricasoli, Castello di Brolio Chianti Classico",Italy,14,ITA
"Barone Ricasoli, Formulae",Italy,13,ITA
Blandy's Alvada 5 Y.O Rich,Portugal,19,PRT
Blandy's Santa Luzia Sweet,Portugal,19,PRT
Muscador,France,11,FRA
Opera Brut,France,11,FRA
Opera Demi Sec,France,11,FRA
"Campo Viejo, Dominio de Campo Viejo",Spain,13,ESP
"Campo Viejo, Gran Reserva",Spain,13,ESP
"Campo Viejo, Viura",Spain,12,ESP
"Castello di Ama, Chianti Classico",Italy,13,ITA
"Castello di Ama, Al Poggio Chardonnay",Italy,13,ITA
"Castello di Ama, L'Apparita",Italy,14,ITA
"Castello di Ama, Rosato",Italy,13,ITA
"Castello di Ama, Vigneto Bellavista",Italy,13,ITA
"Ceretto, Rossana Dolcetto d'Alba",Italy,12,ITA
"Ceretto, Barbaresco ",Italy,14,ITA
"Ceretto, Barolo",Italy,14,ITA
"Ceretto, Arneis Blange",Italy,13,ITA
Chateau Belair,France,13,FRA
"Chateau de Fesles, Chenin Sec",France,13,FRA
"Chateau de Fesles, Bonnezeaux",France,12,FRA
Chateau La Conseillante,France,13,FRA
Chateau La Fleur Petrus,France,13,FRA
Chateau Latour A Pomerol,France,13,FRA
Chateau Magdelaine,France,13,FRA
Chateau Mazeris,France,13,FRA
Chateau Petrus,France,13,FRA
Chateau Plince,France,13,FRA
Chateau Puy Blanquet,France,13,FRA
Chateau Saint Brice,France,13,FRA
Chateau Trotanoy,France,13,FRA
"Dr. H. Thanisch, Berncasteler Doctor Riesling Auslese",Germany,9,DEU
"Dr. H. Thanisch, Berncasteler Doctor Riesling Classic Qualitatswein",Germany,12,DEU
"Dr. H. Thanisch, Berncasteler Doctor Riesling Eiswein",Germany,8,DEU
"Dr. H. Thanisch, Berncasteler Doctor Riesling Kabinett",Germany,9,DEU
"Dr. H. Thanisch, Berncasteler Doctor Riesling Spatlese",Germany,8,DEU
"Gerard Bertrand, Terroir Corbiere ",France,14,FRA
"Gerard Bertrand, Terroir Minervois ",France,14,FRA
"Gerard Bertrand, 6eme sens Blanc",France,12,FRA
"Gerard Bertrand, 6eme sens Rouge",France,12,FRA
"Graham's Port, 10 Years Tawny Port",Portugal,20,PRT
"Graham's Port, Late Bottled Vintage Port",Portugal,20,PRT
"Graham's Port, 30 Years Tawny Port",Portugal,20,PRT
"Graham's Port, Fine Ruby Port",Portugal,19,PRT
"Isole e Olena, Cepparello",Italy,13,ITA
"Isole e Olena, Collezione de Marchi Cabernet Sauvignon",Italy,14,ITA
Robert Skalli Corbiere AOC,France,13,FRA
Fortant de France Cabernet Sauvignon,France,13,FRA
Robert Skalli Chardonnay,France,13,FRA
"Louis Jadot, Beaujolais Villages Comb Aux Jacques ",France,13,FRA
"Louis Jadot, Morgon Chateau de Bellevue",France,13,FRA
"Louis Jadot, Chateau des Jacques Moulin A Vent",France,13,FRA
Louis Jadot Chablis,France,13,FRA
"Louis Jadot, Chablis Grenouilles Grand Cru",France,13,FRA
"Louis Jadot, Chablis 'Les Vaillons' 1er Cru",France,13,FRA
"Louis Jadot, Petit Chablis",France,12,FRA
"Louis Jadot, Bourgogne Aligote",France,12,FRA
"Louis Jadot, Aloxe Corton",France,13,FRA
"Louis Jadot, Corton-Charlemagne Grand Cru",France,13,FRA
"Louis Jadot, Meursault",France,13,FRA
"Louis Jadot, Pommard 1er Cru 'Les Rugiens'",France,13,FRA
"Louis Jadot, Puligny-Montrachet",France,13,FRA
"Louis Jadot, Chambolle-Musigny",France,13,FRA
"Louis Jadot, Clos Vougeot Grand Cru",France,13,FRA
"Louis Jadot, Macon-Villages",France,12,FRA
"Louis Jadot, Pouilly-Fuisse",France,13,FRA
Cotes du Rhone Les Rabassieres Blanc,France,13,FRA
Cotes du Rhone Les Rabassieres Rouge,France,14,FRA
"Maison Bouachon, Crozes Hermitage  La Maurelle",France,13,FRA
"Maison Bouachon, Gigondas Duc de Montfort",France,14,FRA
Clos de Cheval Blanc,France,12,FRA
Chateau Chadeuil,France,12,FRA
Niersteiner Spiegelberg Kabinett,Germany,8,DEU
"Taittinger, Demi Sec",France,12,FRA
"Bodeges Celaya, Sangria",Spain,7,ESP
Chateau La Couronne,France,12,FRA
"Collin Bourisset, Brouilly Domaine Granits Bleus",France,13,FRA
"Collin Bourisset, Chateauneuf du Pape",France,14,FRA
"Collin Bourisset, Cotes du Rhone",France,12,FRA
"Collin Bourisset, Macon Rouge",France,12,FRA
"Collin Bourisset, Macon Villages Domaine des Burdines",France,13,FRA
"Collin Bourisset, Pouilly Fuisse Domaine Tranchand",France,13,FRA
"Collin Bourisset, Saint Veran Chateau de Chasselas",France,13,FRA
Calvados 1978,France,42,FRA
Calvados Fine,France,40,FRA
Calvados Reserve,France,42,FRA
"M de Montesquieu, Bordeaux Blanc",France,11,FRA
"M de Montesquieu, Bordeaux Rouge",France,12,FRA
Chateau Bire,France,12,FRA
"Mahler Besse, Oro Seleccion",Spain,14,ESP
Evel Grande Escolha,Portugal,14,PRT
Porca de Murca Tinto,Portugal,13,PRT
Porca de Murca Reserva,Portugal,14,PRT
Porca de Murca White,Portugal,11,PRT
Royal Oporto 10 Years Old Port,Portugal,20,PRT
Royal Oporto 20 Years Old Port,Portugal,20,PRT
Royal Oporto 40 Years Old Port,Portugal,20,PRT
Royal Oporto Tawny Port,Portugal,19,PRT
"Bouchard Pere & Fils, Bourgogne Chardonnay",France,13,FRA
"Bouchard Pere & Fils, Bourgogne Pinot Noir",France,12,FRA
"Bouchard Pere & Fils, Mercurey",France,13,FRA
"Bouchard Pere & Fils, Auxey Duresses 1er Cru Les Duresses",France,13,FRA
"Bouchard Pere & Fils, Beaune du Chateau 1er Cru",France,13,FRA
"Bouchard Pere & Fils, Meursault",France,13,FRA
"Bouchard Pere & Fils, Monthelie 1er Cru 'Les Duresses'",France,13,FRA
"Bouchard Pere & Fils, Puligny-Montrachet",France,13,FRA
"Bouchard Pere & Fils, Vigne de L'Enfant Jesus",France,13,FRA
"Bouchard Pere & Fils, Clos de Vougeot Grand Cru",France,13,FRA
"Bouchard Pere & Fils, Gevrey Chambertin",France,13,FRA
"Bouchard Pere & Fils, La Romanee Grand Cru",France,13,FRA
"Bouchard Pere & Fils, Marsannay",France,13,FRA
"Bouchard Pere & Fils, Vosne-Romanee",France,13,FRA
"Bouchard Pere & Fils, Pouilly Fuisse",France,13,FRA
"Bruno Giacosa, Barolo",Italy,14,ITA
"Bruno Giacosa, Roero Arneis",Italy,14,ITA
"Tenuta di Biserno, Insoglio del Cinghiale",Italy,14,ITA
"Castello dei Rampolla, Sammarco",Italy,13,ITA
"Castello di Querceto, Chianti Classico",Italy,12,ITA
"Castello di Querceto, Chianti Classico Le Capanne",Italy,12,ITA
"Castello di Querceto, Chianti",Italy,12,ITA
"Castello di Querceto, Vernaccia di San Gimignano",Italy,12,ITA
"Castello di Querceto, Cignale",Italy,13,ITA
"Castello di Querceto, Il Sole di Alessandro",Italy,13,ITA
"Castello di Querceto, l'Aquavite del Castello",Italy,42,ITA
"Marrenon, Classic Luberon Blanc",France,12,FRA
"Cellier de Marrenon, Cotes du Luberon Blanc Cuvee Marie Claire",France,12,FRA
"Cellier de Marrenon, Cotes du Luberon Rouge",France,12,FRA
"Marrenon, Grand Marrenon",France,14,FRA
"Marrenon, Les Agranier Blanc",France,12,FRA
"Marrenon, Les Agranier Rouge",France,13,FRA
Cesari Bardolino Classico,Italy,12,ITA
"Cesari, Amarone della Valpolicella Bosan",Italy,15,ITA
"Cesari, Valpolicella Classico",Italy,13,ITA
Cesari Mitico Chardonnay,Italy,12,ITA
Cesari Mitico Merlot,Italy,13,ITA
Chateau Bouscaut Rouge,France,13,FRA
Chateau Certan de May,France,13,FRA
Chateau Cheval Brun,France,12,FRA
Chateau de Callac Rouge,France,12,FRA
Chateau Ferrande,France,12,FRA
Chateau Fort Lignac,France,12,FRA
Chateau Gressier Grand Poujeaux,France,13,FRA
"Chateau Lagrange, Pomerol",France,13,FRA
Chateau Lalande,France,12,FRA
Chateau Lamothe Bouscaut,France,12,FRA
Chateau Les Baraillots,France,12,FRA
Chateau Les Ollieux Tradition,France,13,FRA
Chateau Les Ormes,France,12,FRA
Chateau Malartic Lagraviere Rouge,France,13,FRA
Chateau Notton,France,13,FRA
Chateau Picampeau,France,13,FRA
Christian Moueix Merlot,France,12,FRA
Clement de Bertiac Medoc,France,12,FRA
"De Tarczal, Marzemino 'Husar'",Italy,13,ITA
Domaine de Chevalier Blanc,France,13,FRA
"Dow's, 10 Year Old Tawny Port",Portugal,20,PRT
"Dow's, 20 Year Old Tawny Port",Portugal,20,PRT
"Dow's, 30 Year Old Tawny Port",Portugal,20,PRT
"Dow's, 40 Year Old Tawny Port",Portugal,20,PRT
"Dow's, Fine Tawny Port",Portugal,19,PRT
"Giuseppe Mascarello, Barolo Monprivato",Italy,13,ITA
"Henri Bourgeois, Muscadet Domaine Gadais Vieilles Vignes",France,12,FRA
"Henri Bourgeois, Sancerre Etienne Henri",France,12,FRA
"Henri Bourgeois, Sancerre Les Baronnes",France,12,FRA
"Champagne Henriot, Brut Millesime",France,12,FRA
"Champagne Henriot, Cuvee des Enchanteleurs",France,12,FRA
"Hugel & Fils, Gewurztraminer",France,13,FRA
"Hugel & Fils, Riesling",France,13,FRA
"Hugel & Fils, Riesling Jubilee",France,13,FRA
"Champagne Jacquesson, Avize Grand Cru",France,12,FRA
"Champagne Jacquesson, Grand Vin Signature",France,12,FRA
Jean Pierre Moueix Pomerol,France,12,FRA
Jean Pierre Moueix Saint Emilion,France,13,FRA
"Martinez Bujanda, Candidato Viura",Spain,11,ESP
"Martinez Bujanda, Candidato Tempranillo Rose",Spain,12,ESP
"Martinez Bujanda, Candidato Tempranillo Red",Spain,12,ESP
"Montevertine, Le Pergole Torte",Italy,13,ITA
"Montevertine, Montevertine",Italy,12,ITA
"Paul Jaboulet Aine, Chateauneuf du Pape Rouge Les Cedres",France,15,FRA
"Paul Jaboulet Aine, Cotes du Rhone Parallele 45",France,14,FRA
"Poggio Di Sotto, Brunello di Montalcino",Italy,14,ITA
"Poggio Di Sotto, Rosso di Montalcino",Italy,13,ITA
"William Fevre, Chablis",France,12,FRA
"William Fevre, Chablis Chablis 1er Cru Fourchaume",France,13,FRA
"Zardetto, Prosecco Extra Dry",Italy,11,ITA
Monte Antico,Italy,12,ITA
"Mahler Besse, Blavia",France,12,FRA
Alter Ego,France,12,FRA
Chateau Picard,France,12,FRA
Barolo Bussia,Italy,14,ITA
"Antinori, Guado al Tasso Vermentino",Italy,12,ITA
Marchese Antinori Chianti Classico Riserva,Italy,13,ITA
Grappa Tignanello,Italy,42,ITA
Antinori Montenisa Brut,Italy,12,ITA
Le Rose de Mouton Cadet,France,12,FRA
Mouton Cadet Red,France,14,FRA
Mouton Cadet White,France,13,FRA
Baron Philippe Cabernet Sauvignon,France,12,FRA
Baron Philippe Merlot,France,12,FRA
Baron Philippe Pinot Noir,France,12,FRA
"Baron Philippe, Sauvignon Blanc",France,12,FRA
Mouton Cadet Reserve Graves,France,12,FRA
Medoc Baron Henri,France,12,FRA
Mouton Cadet Reserve Medoc,France,13,FRA
Pauillac Baron Nathaniel,France,12,FRA
Mouton Cadet Reserve Saint Emilion,France,13,FRA
Saint Emilion Baron Carl,France,12,FRA
Mouton Cadet Reserve Sauternes,France,13,FRA
Berger Baron Red,France,12,FRA
Berger Baron White,France,12,FRA
"Domaines Ott, Bandol Red Chateau Romassan",France,13,FRA
"Domaines Ott, Cotes de Provence Rose Chateau de Selle",France,13,FRA
"M. Chapoutier, Banyuls Rouge",France,17,FRA
"M. Chapoutier, Chateauneuf du Pape 'La Bernardine' Rouge",France,14,FRA
M. Chapoutier Cote Rotie 'La Modoree',France,13,FRA
"M.Chapoutier, Cotes du Rhone Rouge",France,14,FRA
"M. Chapoutier, Les Meysonniers Crozes Hermitage",France,13,FRA
"M. Chapoutier, Ermitage Le pavillon",France,14,FRA
"M. Chapoutier, Hermitage Mure de Larnage",France,13,FRA
"M. Chapoutier, Beaurevoir Tavel Rose",France,13,FRA
"Trimbach, Gewurztraminer",France,13,FRA
"Trimbach, Riesling",France,12,FRA
"Pertinace, Barbera d'Alba",Italy,13,ITA
"Pertinace, Barbaresco Marcarini",Italy,14,ITA
"Pertinace, Barolo",Italy,14,ITA
Chateau Bellevue Red,France,12,FRA
"Cantina Colli Euganei, Fior d'Arancio Spumante",Italy,6,ITA
"Domaine Confuron Cotetidot, Chambolle Musigny",France,12,FRA
"Domaine Confuron Cotetidot, Vosne Romanee",France,12,FRA
Deinhard Green Label,Germany,9,DEU
"Deinhard, Hanns Christof",Germany,10,DEU
"Delor, Bordeaux Blanc",France,12,FRA
"Delor, Bordeaux Rouge",France,12,FRA
Chateau de L'abbaye,France,12,FRA
Chateau Cotes du Gros Caillou,France,13,FRA
"Delor, Cabernet Sauvignon",France,13,FRA
"Delor, Chardonnay",France,13,FRA
"Delor, Merlot",France,13,FRA
Rougebord,France,11,FRA
"Domaine Bruno Clair, Bourgogne Aligote",France,12,FRA
"Domaine Bruno Clair, Aloxe Corton",France,13,FRA
"Domaine Bruno Clair, Corton Charlemagne Grand Cru",France,13,FRA
"Domaine Bruno Clair, Savigny les Beaune 1er Cru la Dominode",France,13,FRA
"Domaine Bruno Clair, Chambertin Clos de Beze Grand Cru",France,13,FRA
"Domaine Bruno Clair, Chambolle Musigny Les Veroilles",France,13,FRA
"Domaine Bruno Clair, Gevrey Chambertin Clos St Jacques",France,13,FRA
"Domaine Bruno Clair, Marsannay Blanc",France,13,FRA
"Domaine Bruno Clair, Marsannay Rouge",France,13,FRA
"Domaine Christian Serafin, Gevrey Chambertin",France,13,FRA
"Domaine Patrick Javillier, Meursault Cuvee Tete de Murger",France,13,FRA
"Domaine Patrick Javillier, Meursault Les Tillets",France,13,FRA
"Fattoria del Cerro, Rosso di Montepulciano",Italy,13,ITA
"Fattoria del Cerro, Vino Nobile di Montepulciano Riserva",Italy,14,ITA
Chateauneuf du Pape Cuvee du Vatican Reserve Sixtine,France,15,FRA
"Felsina, Chianti Classico 'Berardenga'",Italy,14,ITA
"Felsina, Vin Santo Chianti Classico",Italy,13,ITA
"Felsina, Fontalloro",Italy,14,ITA
"Felsina, I Sistri",Italy,13,ITA
"Fery Meunier, Pommard 1er Cru Les Epenots",France,12,FRA
"Fery Meunier, Charmes Chambertin",France,13,FRA
"Fery Meunier, Clos de Vougeot",France,13,FRA
"Fery Meunier, Nuits St Georges",France,13,FRA
Henkell Trocken,Germany,11,DEU
Henkell Trocken Piccolo,Germany,11,DEU
"J.P Chenet, Cabernet Syrah",France,13,FRA
"JP Chenet, Delicious Red",France,11,FRA
"Louis Max, Chablis 1er Cru 'Fourchaume'",France,12,FRA
"Louis Max, Pouilly Fuisse Vieilles Vignes",France,12,FRA
Elin Sweet,Italy,10,ITA
"Codici, Rosso Sweet",Italy,11,ITA
"Tenuta Sant'Antonio, Soave",Italy,13,ITA
"Tenuta Sant'Antonio, Amarone della Valpolicella 'Campo dei Gigli'",Italy,16,ITA
