web-scraper-order,web-scraper-start-url,name_raw,price_raw,country_raw,quantity_raw,value_raw
"1734709737-35","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Champagne AOC Charles Bertin, brut","19.50","Frankreich","75cl","2.60/10cl"
"1734709737-36","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Prosecco DOC Vigne dei Dogi, extra dry","6.95","Italien","75cl","0.93/10cl"
"1734709737-37","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Zürich AOC Federweisser Stauffacher","9.95","Schweiz, 2023","75cl","1.33/10cl"
"1734709737-38","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Blu Secco Dose Vino Frizzante 6x20cl","8.70","Italien","120cl","0.73/10cl"
"1734709737-39","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Toscana IGT Rosso Villa Antinori","12.95","Italien, 2022","75cl","1.73/10cl"
"1734709737-40","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Terre Siciliane IGT Nero d'Avola Bromeus","13.95","Italien, 2022","75cl","1.86/10cl"
"1734709737-41","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","La Côte AOC Grand Cru Perroy Cuvée 48 Cave de Jolimont 6x  70cl","41.70","Schweiz, 2023","6x 70cl","0.99/10cl"
"1734709737-42","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Lavaux AOC St-Saphorin La Donjannaz Les Terrasses de Lavaux","14.95","Schweiz, 2023","70cl","2.14/10cl"
"1734709737-43","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Alsace AOP Gewürztraminer Baron de Hoen Beblenheim","7.35","Frankreich, 2022","75cl","0.98/10cl"
"1734709737-44","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Valais AOC Dôle Blanche Les Bernadettes","9.30","Schweiz, 2023","75cl","1.24/10cl"
"1734709737-45","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Douro DOC Fabelhaft Niepoort","11.25","Portugal, 2021","75cl","1.50/10cl"
"1734709737-46","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Glühwein Heisser Hirsch Rot","4.50","Deutschland","75cl","0.60/10cl"
"1734709737-47","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Toscana IGT Bianco Villa Antinori","12.50","Italien, 2023","75cl","1.67/10cl"
"1734709737-48","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Naturaplan Bio-Crémant d'Alsace AOC Wolfberger, brut","10.95","Frankreich","75cl","1.46/10cl"
"1734709737-49","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Médoc AOC Château Laffitte Laujac","8.95","Frankreich, 2021","75cl","1.19/10cl"
"1734709737-50","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Valdo Prosecco di Valdobbiadene DOCG","9.95","Italien","75cl","1.33/10cl"
"1734709737-51","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Rimuss Champion Moscato, alkoholfrei","4.95","Rimuss","75cl","0.66/10cl"
"1734709737-52","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Freixenet Carta Medium Dry semi seco","6.95","Spanien","75cl","0.93/10cl"
"1734709737-53","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Champagne AOC Impérial Moët & Chandon, brut","38.50","Frankreich","75cl","5.13/10cl"
"1734709737-54","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Bourgogne AOC Chardonnay Louis Jadot","18.95","Frankreich, 2022","75cl","2.53/10cl"
"1734709737-55","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Valais AOC Rosé Oeil de Perdrix Le Rosel 6x  75cl","42.60","Schweiz, 2023","6x 75cl","0.95/10cl"
"1734709737-56","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=19","Legaris Crianza Ribera del Duero DO","25.50","Spanien, 2021","75cl","3.40/10cl"
