web-scraper-order,web-scraper-start-url,name,price,country_raw,quantity,value,country,name_raw_len,bio,non_alcoholic,premium,wine_category,price_category,quantity_in_cl,price_per_10cl,country_code,latitude,longitude,consumption_in_l,ABV
1734709759-192,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,toscana igt bianco villa antinori,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,ITA,41.87194,12.56738,4.83,5.0
1734709759-193,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,"naturaplan bio-crémant d'alsace aoc wolfberger, brut",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FRA,46.227638,2.213749,6.44,11.0
1734709759-195,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,valdo prosecco di valdobbiadene docg,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,ITA,41.87194,12.56738,4.83,11.0
1734709759-198,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,"champagne aoc impérial moët & chandon, brut",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FRA,46.227638,2.213749,6.44,12.0
1734709759-199,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,bourgogne aoc chardonnay louis jadot,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FRA,46.227638,2.213749,6.44,13.0
1734709759-201,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,legaris crianza ribera del duero do,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ESP,40.463667,-3.74922,3.52,13.0
1734709759-202,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,ripasso della valpolicella doc superiore vigne alte zeni,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,ITA,41.87194,12.56738,4.83,13.0
1734709759-203,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14,vino nobile di montepulciano docg tenuta trerose,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,ITA,41.87194,12.56738,4.83,13.0
1734709763-207,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,ITA,41.87194,12.56738,4.83,11.0
1734709763-209,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,"champagne aoc charles bertin, brut",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FRA,46.227638,2.213749,6.44,12.0
1734709763-210,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,"prosecco doc vigne dei dogi, extra dry",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,ITA,41.87194,12.56738,4.83,11.0
1734709763-212,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,blu secco dose vino frizzante 6x20cl,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,ITA,41.87194,12.56738,4.83,8.0
1734709763-213,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,toscana igt rosso villa antinori,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,ITA,41.87194,12.56738,4.83,5.0
1734709763-214,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,terre siciliane igt nero d'avola bromeus,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,ITA,41.87194,12.56738,4.83,13.0
1734709763-217,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,alsace aop gewürztraminer baron de hoen beblenheim,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FRA,46.227638,2.213749,6.44,13.0
1734709763-221,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,toscana igt bianco villa antinori,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,ITA,41.87194,12.56738,4.83,5.0
1734709763-222,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,"naturaplan bio-crémant d'alsace aoc wolfberger, brut",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FRA,46.227638,2.213749,6.44,11.0
1734709763-224,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,valdo prosecco di valdobbiadene docg,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,ITA,41.87194,12.56738,4.83,11.0
1734709763-227,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,"champagne aoc impérial moët & chandon, brut",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FRA,46.227638,2.213749,6.44,12.0
1734709763-228,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,bourgogne aoc chardonnay louis jadot,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FRA,46.227638,2.213749,6.44,13.0
1734709763-230,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,legaris crianza ribera del duero do,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ESP,40.463667,-3.74922,3.52,13.0
1734709763-231,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,ripasso della valpolicella doc superiore vigne alte zeni,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,ITA,41.87194,12.56738,4.83,13.0
1734709763-232,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13,vino nobile di montepulciano docg tenuta trerose,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,ITA,41.87194,12.56738,4.83,13.0
1734709768-236,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,ITA,41.87194,12.56738,4.83,11.0
1734709768-238,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,"champagne aoc charles bertin, brut",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FRA,46.227638,2.213749,6.44,12.0
1734709768-239,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,"prosecco doc vigne dei dogi, extra dry",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,ITA,41.87194,12.56738,4.83,11.0
1734709768-241,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,blu secco dose vino frizzante 6x20cl,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,ITA,41.87194,12.56738,4.83,8.0
1734709768-242,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,toscana igt rosso villa antinori,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,ITA,41.87194,12.56738,4.83,5.0
1734709768-243,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,terre siciliane igt nero d'avola bromeus,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,ITA,41.87194,12.56738,4.83,13.0
1734709768-246,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,alsace aop gewürztraminer baron de hoen beblenheim,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FRA,46.227638,2.213749,6.44,13.0
1734709768-250,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,toscana igt bianco villa antinori,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,ITA,41.87194,12.56738,4.83,5.0
1734709768-251,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,"naturaplan bio-crémant d'alsace aoc wolfberger, brut",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FRA,46.227638,2.213749,6.44,11.0
1734709768-253,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,valdo prosecco di valdobbiadene docg,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,ITA,41.87194,12.56738,4.83,11.0
1734709768-256,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,"champagne aoc impérial moët & chandon, brut",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FRA,46.227638,2.213749,6.44,12.0
1734709768-257,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,bourgogne aoc chardonnay louis jadot,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FRA,46.227638,2.213749,6.44,13.0
1734709768-259,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,legaris crianza ribera del duero do,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ESP,40.463667,-3.74922,3.52,13.0
1734709768-260,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,ripasso della valpolicella doc superiore vigne alte zeni,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,ITA,41.87194,12.56738,4.83,13.0
1734709768-261,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12,vino nobile di montepulciano docg tenuta trerose,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,ITA,41.87194,12.56738,4.83,13.0
1734709772-265,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,ITA,41.87194,12.56738,4.83,11.0
1734709772-267,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,"champagne aoc charles bertin, brut",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FRA,46.227638,2.213749,6.44,12.0
1734709772-268,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,"prosecco doc vigne dei dogi, extra dry",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,ITA,41.87194,12.56738,4.83,11.0
1734709772-270,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,blu secco dose vino frizzante 6x20cl,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,ITA,41.87194,12.56738,4.83,8.0
1734709772-271,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,toscana igt rosso villa antinori,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,ITA,41.87194,12.56738,4.83,5.0
1734709772-272,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,terre siciliane igt nero d'avola bromeus,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,ITA,41.87194,12.56738,4.83,13.0
1734709772-275,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,alsace aop gewürztraminer baron de hoen beblenheim,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FRA,46.227638,2.213749,6.44,13.0
1734709772-279,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,toscana igt bianco villa antinori,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,ITA,41.87194,12.56738,4.83,5.0
1734709772-280,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,"naturaplan bio-crémant d'alsace aoc wolfberger, brut",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FRA,46.227638,2.213749,6.44,11.0
1734709772-282,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,valdo prosecco di valdobbiadene docg,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,ITA,41.87194,12.56738,4.83,11.0
1734709772-285,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,"champagne aoc impérial moët & chandon, brut",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FRA,46.227638,2.213749,6.44,12.0
1734709772-286,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,bourgogne aoc chardonnay louis jadot,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FRA,46.227638,2.213749,6.44,13.0
1734709772-288,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,legaris crianza ribera del duero do,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ESP,40.463667,-3.74922,3.52,13.0
1734709772-289,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,ripasso della valpolicella doc superiore vigne alte zeni,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,ITA,41.87194,12.56738,4.83,13.0
1734709772-290,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11,vino nobile di montepulciano docg tenuta trerose,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,ITA,41.87194,12.56738,4.83,13.0
1734709776-294,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,ITA,41.87194,12.56738,4.83,11.0
1734709776-296,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,"champagne aoc charles bertin, brut",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FRA,46.227638,2.213749,6.44,12.0
1734709776-297,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,"prosecco doc vigne dei dogi, extra dry",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,ITA,41.87194,12.56738,4.83,11.0
1734709776-299,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,blu secco dose vino frizzante 6x20cl,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,ITA,41.87194,12.56738,4.83,8.0
1734709776-300,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,toscana igt rosso villa antinori,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,ITA,41.87194,12.56738,4.83,5.0
1734709776-301,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,terre siciliane igt nero d'avola bromeus,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,ITA,41.87194,12.56738,4.83,13.0
1734709776-304,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,alsace aop gewürztraminer baron de hoen beblenheim,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FRA,46.227638,2.213749,6.44,13.0
1734709776-308,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,toscana igt bianco villa antinori,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,ITA,41.87194,12.56738,4.83,5.0
1734709776-309,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,"naturaplan bio-crémant d'alsace aoc wolfberger, brut",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FRA,46.227638,2.213749,6.44,11.0
1734709776-311,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,valdo prosecco di valdobbiadene docg,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,ITA,41.87194,12.56738,4.83,11.0
1734709776-314,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,"champagne aoc impérial moët & chandon, brut",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FRA,46.227638,2.213749,6.44,12.0
1734709776-315,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,bourgogne aoc chardonnay louis jadot,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FRA,46.227638,2.213749,6.44,13.0
1734709776-317,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,legaris crianza ribera del duero do,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ESP,40.463667,-3.74922,3.52,13.0
1734709776-318,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,ripasso della valpolicella doc superiore vigne alte zeni,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,ITA,41.87194,12.56738,4.83,13.0
1734709776-319,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=10,vino nobile di montepulciano docg tenuta trerose,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,ITA,41.87194,12.56738,4.83,13.0
1734709781-323,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,ITA,41.87194,12.56738,4.83,11.0
1734709781-325,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,"champagne aoc charles bertin, brut",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FRA,46.227638,2.213749,6.44,12.0
1734709781-326,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,"prosecco doc vigne dei dogi, extra dry",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,ITA,41.87194,12.56738,4.83,11.0
1734709781-328,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,blu secco dose vino frizzante 6x20cl,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,ITA,41.87194,12.56738,4.83,8.0
1734709781-329,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,toscana igt rosso villa antinori,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,ITA,41.87194,12.56738,4.83,5.0
1734709781-330,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,terre siciliane igt nero d'avola bromeus,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,ITA,41.87194,12.56738,4.83,13.0
1734709781-333,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,alsace aop gewürztraminer baron de hoen beblenheim,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FRA,46.227638,2.213749,6.44,13.0
1734709781-337,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,toscana igt bianco villa antinori,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,ITA,41.87194,12.56738,4.83,5.0
1734709781-338,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,"naturaplan bio-crémant d'alsace aoc wolfberger, brut",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FRA,46.227638,2.213749,6.44,11.0
1734709781-340,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,valdo prosecco di valdobbiadene docg,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,ITA,41.87194,12.56738,4.83,11.0
1734709781-343,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,"champagne aoc impérial moët & chandon, brut",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FRA,46.227638,2.213749,6.44,12.0
1734709781-344,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,bourgogne aoc chardonnay louis jadot,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FRA,46.227638,2.213749,6.44,13.0
1734709781-346,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,legaris crianza ribera del duero do,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ESP,40.463667,-3.74922,3.52,13.0
1734709781-347,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,ripasso della valpolicella doc superiore vigne alte zeni,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,ITA,41.87194,12.56738,4.83,13.0
1734709781-348,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=9,vino nobile di montepulciano docg tenuta trerose,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,ITA,41.87194,12.56738,4.83,13.0
1734709785-352,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,ITA,41.87194,12.56738,4.83,11.0
1734709785-354,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,"champagne aoc charles bertin, brut",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FRA,46.227638,2.213749,6.44,12.0
1734709785-355,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,"prosecco doc vigne dei dogi, extra dry",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,ITA,41.87194,12.56738,4.83,11.0
1734709785-357,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,blu secco dose vino frizzante 6x20cl,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,ITA,41.87194,12.56738,4.83,8.0
1734709785-358,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,toscana igt rosso villa antinori,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,ITA,41.87194,12.56738,4.83,5.0
1734709785-359,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,terre siciliane igt nero d'avola bromeus,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,ITA,41.87194,12.56738,4.83,13.0
1734709785-362,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,alsace aop gewürztraminer baron de hoen beblenheim,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FRA,46.227638,2.213749,6.44,13.0
1734709785-366,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,toscana igt bianco villa antinori,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,ITA,41.87194,12.56738,4.83,5.0
1734709785-367,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,"naturaplan bio-crémant d'alsace aoc wolfberger, brut",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FRA,46.227638,2.213749,6.44,11.0
1734709785-369,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,valdo prosecco di valdobbiadene docg,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,ITA,41.87194,12.56738,4.83,11.0
1734709785-372,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,"champagne aoc impérial moët & chandon, brut",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FRA,46.227638,2.213749,6.44,12.0
1734709785-373,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,bourgogne aoc chardonnay louis jadot,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FRA,46.227638,2.213749,6.44,13.0
1734709785-375,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,legaris crianza ribera del duero do,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ESP,40.463667,-3.74922,3.52,13.0
1734709785-376,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,ripasso della valpolicella doc superiore vigne alte zeni,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,ITA,41.87194,12.56738,4.83,13.0
1734709785-377,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=8,vino nobile di montepulciano docg tenuta trerose,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,ITA,41.87194,12.56738,4.83,13.0
1734709789-381,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=7,"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,ITA,41.87194,12.56738,4.83,11.0
