web-scraper-order,web-scraper-start-url,name,price,country_raw,quantity,value,country,name_raw_len,bio,non_alcoholic,premium,wine_category,price_category,quantity_in_cl,price_per_10cl,country_code,latitude,longitude,consumption_in_l,ABV
1734709741-85,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,legaris crianza ribera del duero do,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ESP,40.463667,-3.74922,3.52,13.0
1734709741-86,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,ripasso della valpolicella doc superiore vigne alte zeni,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,ITA,41.87194,12.56738,4.83,13.0
1734709741-87,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,vino nobile di montepulciano docg tenuta trerose,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,ITA,41.87194,12.56738,4.83,13.0
1734709745-91,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,ITA,41.87194,12.56738,4.83,11.0
1734709745-93,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,"champagne aoc charles bertin, brut",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FRA,46.227638,2.213749,6.44,12.0
1734709745-94,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,"prosecco doc vigne dei dogi, extra dry",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,ITA,41.87194,12.56738,4.83,11.0
1734709745-96,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,blu secco dose vino frizzante 6x20cl,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,ITA,41.87194,12.56738,4.83,8.0
1734709745-97,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,toscana igt rosso villa antinori,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,ITA,41.87194,12.56738,4.83,5.0
1734709745-98,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,terre siciliane igt nero d'avola bromeus,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,ITA,41.87194,12.56738,4.83,13.0
1734709745-101,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,alsace aop gewürztraminer baron de hoen beblenheim,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FRA,46.227638,2.213749,6.44,13.0
1734709745-105,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,toscana igt bianco villa antinori,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,ITA,41.87194,12.56738,4.83,5.0
1734709745-106,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,"naturaplan bio-crémant d'alsace aoc wolfberger, brut",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FRA,46.227638,2.213749,6.44,11.0
1734709745-108,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,valdo prosecco di valdobbiadene docg,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,ITA,41.87194,12.56738,4.83,11.0
1734709745-111,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,"champagne aoc impérial moët & chandon, brut",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FRA,46.227638,2.213749,6.44,12.0
1734709745-112,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,bourgogne aoc chardonnay louis jadot,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FRA,46.227638,2.213749,6.44,13.0
1734709745-114,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,legaris crianza ribera del duero do,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ESP,40.463667,-3.74922,3.52,13.0
1734709745-115,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,ripasso della valpolicella doc superiore vigne alte zeni,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,ITA,41.87194,12.56738,4.83,13.0
1734709745-116,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,vino nobile di montepulciano docg tenuta trerose,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,ITA,41.87194,12.56738,4.83,13.0
1734709749-120,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,ITA,41.87194,12.56738,4.83,11.0
1734709749-122,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,"champagne aoc charles bertin, brut",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FRA,46.227638,2.213749,6.44,12.0
1734709749-123,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,"prosecco doc vigne dei dogi, extra dry",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,ITA,41.87194,12.56738,4.83,11.0
1734709749-125,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,blu secco dose vino frizzante 6x20cl,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,ITA,41.87194,12.56738,4.83,8.0
1734709749-126,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,toscana igt rosso villa antinori,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,ITA,41.87194,12.56738,4.83,5.0
1734709749-127,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,terre siciliane igt nero d'avola bromeus,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,ITA,41.87194,12.56738,4.83,13.0
1734709749-130,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,alsace aop gewürztraminer baron de hoen beblenheim,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FRA,46.227638,2.213749,6.44,13.0
1734709749-134,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,toscana igt bianco villa antinori,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,ITA,41.87194,12.56738,4.83,5.0
1734709749-135,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,"naturaplan bio-crémant d'alsace aoc wolfberger, brut",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FRA,46.227638,2.213749,6.44,11.0
1734709749-137,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,valdo prosecco di valdobbiadene docg,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,ITA,41.87194,12.56738,4.83,11.0
1734709749-140,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,"champagne aoc impérial moët & chandon, brut",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FRA,46.227638,2.213749,6.44,12.0
1734709749-141,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,bourgogne aoc chardonnay louis jadot,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FRA,46.227638,2.213749,6.44,13.0
1734709749-143,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,legaris crianza ribera del duero do,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ESP,40.463667,-3.74922,3.52,13.0
1734709749-144,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,ripasso della valpolicella doc superiore vigne alte zeni,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,ITA,41.87194,12.56738,4.83,13.0
1734709749-145,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16,vino nobile di montepulciano docg tenuta trerose,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,ITA,41.87194,12.56738,4.83,13.0
1734709754-149,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,ITA,41.87194,12.56738,4.83,11.0
1734709754-151,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,"champagne aoc charles bertin, brut",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FRA,46.227638,2.213749,6.44,12.0
1734709754-152,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,"prosecco doc vigne dei dogi, extra dry",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,ITA,41.87194,12.56738,4.83,11.0
1734709754-154,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,blu secco dose vino frizzante 6x20cl,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,ITA,41.87194,12.56738,4.83,8.0
1734709754-155,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15,toscana igt rosso villa antinori,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,ITA,41.87194,12.56738,4.83,5.0
